Anno,Provincia,Mese,Macro Tipologia,Provenienza,Arrivi,Presenze
2023,Sassari,7,Alberghiero,Italia,450,1800
2023,Sassari,7,Alberghiero,Germania,180,720
2023,Sassari,7,Extralberghiero,Italia,450,1800
2023,Sassari,7,Extralberghiero,Germania,180,720
2023,Sassari,8,Alberghiero,Italia,450,1800
2023,Sassari,8,Alberghiero,Germania,180,720
2023,Sassari,8,Extralberghiero,Italia,450,1800
2023,Sassari,8,Extralberghiero,Germania,180,720
2023,Sassari,9,Alberghiero,Italia,450,1800
2023,Sassari,9,Alberghiero,Germania,180,720
2023,Sassari,9,Extralberghiero,Italia,450,1800
2023,Sassari,9,Extralberghiero,Germania,180,720
2023,Sassari,10,Alberghiero,Italia,450,1800
2023,Sassari,10,Alberghiero,Germania,180,720
2023,Sassari,10,Extralberghiero,Italia,450,1800
2023,Sassari,10,Extralberghiero,Germania,180,720
2023,Sassari,11,Alberghiero,Italia,450,1800
2023,Sassari,11,Alberghiero,Germania,180,720
2023,Sassari,11,Extralberghiero,Italia,450,1800
2023,Sassari,11,Extralberghiero,Germania,180,720
2023,Sassari,12,Alberghiero,Italia,450,1800
2023,Sassari,12,Alberghiero,Germania,180,720
2023,Sassari,12,Extralberghiero,Italia,450,1800
2023,Sassari,12,Extralberghiero,Germania,180,720
2023,Nuoro,1,Alberghiero,Italia,190,570
2023,Nuoro,1,Alberghiero,Germania,45,180
2023,Nuoro,1,Extralberghiero,Italia,190,570
2023,Nuoro,1,Extralberghiero,Germania,45,180
2023,Nuoro,2,Alberghiero,Italia,190,570
2023,Nuoro,2,Alberghiero,Germania,45,180
2023,Nuoro,2,Extralberghiero,Italia,190,570
2023,Nuoro,2,Extralberghiero,Germania,45,180
2023,Nuoro,3,Alberghiero,Italia,190,570
2023,Nuoro,3,Alberghiero,Germania,45,180
2023,Nuoro,3,Extralberghiero,Italia,190,570
2023,Nuoro,3,Extralberghiero,Germania,45,180
2023,Nuoro,4,Alberghiero,Italia,190,570
2023,Nuoro,4,Alberghiero,Germania,45,180
2023,Nuoro,4,Extralberghiero,Italia,190,570
2023,Nuoro,4,Extralberghiero,Germania,45,180
2023,Nuoro,5,Alberghiero,Italia,190,570
2023,Nuoro,5,Alberghiero,Germania,45,180
2023,Nuoro,5,Extralberghiero,Italia,190,570
2023,Nuoro,5,Extralberghiero,Germania,45,180
2023,Nuoro,6,Alberghiero,Italia,190,570
2023,Nuoro,6,Alberghiero,Germania,45,180
2023,Nuoro,6,Extralberghiero,Italia,190,570
2023,Nuoro,6,Extralberghiero,Germania,45,180
2023,Nuoro,7,Alberghiero,Italia,190,570
2023,Nuoro,7,Alberghiero,Germania,45,180
2023,Nuoro,7,Extralberghiero,Italia,190,570
2023,Nuoro,7,Extralberghiero,Germania,45,180
2023,Nuoro,8,Alberghiero,Italia,190,570
2023,Nuoro,8,Alberghiero,Germania,45,180
2023,Nuoro,8,Extralberghiero,Italia,190,570
2023,Nuoro,8,Extralberghiero,Germania,45,180
2023,Nuoro,9,Alberghiero,Italia,190,570
2023,Nuoro,9,Alberghiero,Germania,45,180
2023,Nuoro,9,Extralberghiero,Italia,190,570
2023,Nuoro,9,Extralberghiero,Germania,45,180
2023,Nuoro,10,Alberghiero,Italia,190,570
2023,Nuoro,10,Alberghiero,Germania,45,180
2023,Nuoro,10,Extralberghiero,Italia,190,570
2023,Nuoro,10,Extralberghiero,Germania,45,180
2023,Nuoro,11,Alberghiero,Italia,190,570
2023,Nuoro,11,Alberghiero,Germania,45,180
2023,Nuoro,11,Extralberghiero,Italia,190,570
2023,Nuoro,11,Extralberghiero,Germania,45,180
2023,Nuoro,12,Alberghiero,Italia,190,570
2023,Nuoro,12,Alberghiero,Germania,45,180
2023,Nuoro,12,Extralberghiero,Italia,190,570
2023,Nuoro,12,Extralberghiero,Germania,45,180
